HISTORICAL DATA FOR NYSE COMPOSITE INDEX (SYMBOL NYA) ,,,
DATE,CLOSING PRICE,TOTAL RETURN,MARKET CAP
8/13/1981,819.78,N/A,N/A
8/14/1981,814.18,N/A,N/A
8/17/1981,806.56,N/A,N/A
8/18/1981,798.85,N/A,N/A
8/19/1981,800.75,N/A,N/A
8/20/1981,802.33,N/A,N/A
8/21/1981,794.09,N/A,N/A
8/24/1981,771.04,N/A,N/A
8/25/1981,767.44,N/A,N/A
8/26/1981,766.49,N/A,N/A
8/27/1981,757.82,N/A,N/A
8/28/1981,760.99,N/A,N/A
8/31/1981,752.85,N/A,N/A
9/1/1981,753.7,N/A,N/A
9/2/1981,756.66,N/A,N/A
9/3/1981,742.8,N/A,N/A
9/4/1981,735.4,N/A,N/A
9/8/1981,721.55,N/A,N/A
9/9/1981,724.09,N/A,N/A
9/10/1981,734.77,N/A,N/A
9/11/1981,743.54,N/A,N/A
9/14/1981,737.94,N/A,N/A
9/15/1981,733.18,N/A,N/A
9/16/1981,727.68,N/A,N/A
9/17/1981,717.22,N/A,N/A
9/18/1981,711.29,N/A,N/A
9/21/1981,715.95,N/A,N/A
9/22/1981,712.99,N/A,N/A
9/23/1981,705.69,N/A,N/A
9/24/1981,702.31,N/A,N/A
9/25/1981,686.87,N/A,N/A
9/28/1981,702.41,N/A,N/A
9/29/1981,706.85,N/A,N/A
9/30/1981,708.44,N/A,N/A
10/1/1981,713.73,N/A,N/A
10/2/1981,728.11,N/A,N/A
10/5/1981,729.59,N/A,N/A
10/6/1981,729.9,N/A,N/A
10/7/1981,741.54,N/A,N/A
10/8/1981,747.99,N/A,N/A
10/9/1981,743.65,N/A,N/A
10/12/1981,742.38,N/A,N/A
10/13/1981,740.9,N/A,N/A
10/14/1981,729.27,N/A,N/A
10/15/1981,733.71,N/A,N/A
10/16/1981,730.96,N/A,N/A
10/19/1981,729.8,N/A,N/A
10/20/1981,737.52,N/A,N/A
10/21/1981,736.57,N/A,N/A
10/22/1981,733.71,N/A,N/A
10/23/1981,727.79,N/A,N/A
10/26/1981,725.15,N/A,N/A
10/27/1981,731.7,N/A,N/A
10/28/1981,733.18,N/A,N/A
10/29/1981,730.54,N/A,N/A
10/30/1981,746.93,N/A,N/A
11/2/1981,761.84,N/A,N/A
11/3/1981,765.33,N/A,N/A
11/4/1981,765.33,N/A,N/A
11/5/1981,759.09,N/A,N/A
11/6/1981,754.22,N/A,N/A
11/9/1981,757.82,N/A,N/A
11/10/1981,755.18,N/A,N/A
11/11/1981,756.44,N/A,N/A
11/12/1981,758.03,N/A,N/A
11/13/1981,749.15,N/A,N/A
11/16/1981,740.06,N/A,N/A
11/17/1981,744.28,N/A,N/A
11/18/1981,740.48,N/A,N/A
11/19/1981,743.97,N/A,N/A
11/20/1981,750.73,N/A,N/A
11/23/1981,749.78,N/A,N/A
11/24/1981,759.72,N/A,N/A
